SN,TITLE,CONTENT,VOTE_SCORE,REG_DATE
191913.0,지하철 신설 부탁드립니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191913,1.0,2021-12-20 12:35:48.0
191912.0,관내 콜라텍및 카바레 비상구 항시 개방,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191912,0.0,2021-12-20 11:07:32.0
191911.0,어린이보호역 사고예방,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191911,0.0,2021-12-20 09:50:48.0
191910.0,난민과 지역사회의 교류활성화를 위한 프로그램 제안드립니다.,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191910,0.0,2021-12-19 22:37:18.0
191909.0,에코 마일리지 활성화,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191909,0.0,2021-12-19 19:44:13.0
191908.0,코로나19 임시선별검사소 사전예약제 도입,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191908,0.0,2021-12-19 19:10:52.0
191907.0,환경미화원 안전에 관한 제안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191907,0.0,2021-12-19 16:48:59.0
191906.0,지자체 재난지원금,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191906,0.0,2021-12-19 02:11:10.0
191905.0,노인분들을 위한 둘레길 셔틀 운행 제안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191905,0.0,2021-12-18 18:13:12.0
191904.0,노인 세대의 디지털 격차 해소 방안 논의,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191904,0.0,2021-12-18 16:31:00.0
191903.0,코로나19 검사 결과 - 영문증명서 발급,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191903,0.0,2021-12-18 14:57:56.0
191902.0,서울시 노숙자 월동대책 방안에 대해서,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191902,1.0,2021-12-18 11:54:23.0
191901.0,디지털 플랫폼 구축을 통한 교육 격차 해결의 구체적 방향,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191901,0.0,2021-12-18 10:49:24.0
191900.0,코로나 대기 시간 효율적 운용방안,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191900,0.0,2021-12-18 10:02:34.0
191899.0,성폭력 당한 28 청년입니다 지적장애인3급입니다,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191899,0.0,2021-12-17 17:45:55.0
191898.0,장애인 이해 교육,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191898,0.0,2021-12-17 14:47:52.0
191897.0,어르신을 위한 키오스크 나들이,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191897,0.0,2021-12-17 11:31:32.0
191895.0,코로나 상황에서도 문화 향유를 넓히기 위해 연극공연활동을 지원해주세요,http://democracy.seoul.go.kr/front/freeSuggest/view.do?sn=191895,0.0,2021-12-17 10:37:17.0
